tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017486638439619,24052.459915318857,4.678969431963425,15.0,2.8553277986765884,0,0,7.797079047697592
1,0.8034972371451545,24104.917114354637,4.680586517278184,15.0,2.8619829403494617,0,0,7.797079047697592
2,0.8052453155012851,24157.359465038553,4.683127086589123,15.0,2.872438695862016,0,0,7.797079047697592
3,0.8069924946567238,24209.774839701717,4.6865903870707255,15.0,2.886691966948238,0,0,7.797079047697592
4,0.8087383706222938,24262.151118668815,4.690975392472315,15.0,2.9047385300562913,0,0,7.797079047697592
5,0.8104825397949809,24314.476193849427,4.696280803422155,15.0,2.926573037600055,0,0,7.797079047697592
6,0.8122245990775308,24366.737972325922,4.702505047812482,15.0,2.952189019543715,0,0,7.797079047697592
7,0.8139641459978951,24418.924379936852,4.709646281265352,15.0,2.9815788853189837,0,0,7.797079047697592
8,0.8157007788284928,24471.023364854784,4.717702387679171,15.0,3.014733926074344,0,0,7.797079047697592
9,0.8174340967052504,24523.02290115751,4.7266709798557445,15.0,3.051644317255679,0,0,7.797079047697592
10,0.8191636997463866,24574.910992391597,4.736549400207653,15.0,3.092299121517489,0,0,7.797079047697592
11,0.820889189170906,24626.675675127182,4.747334721545753,15.0,3.136686291963867,0,0,7.797079047697592
12,0.8226101674167673,24678.30502250302,4.759023747946564,15.0,3.184792675718259,0,0,7.797079047697592
13,0.824326238258688,24729.78714776064,4.771613015699295,15.0,3.236604017820936,0,0,7.797079047697592
14,0.8260370069255554,24781.110207766662,4.785098794332213,15.0,3.292104965453052,0,0,7.797079047697592
15,0.8277420802174061,24832.262406522183,4.799477087718058,15.0,3.351279072486016,0,0,7.797079047697592
16,0.8294410666219391,24883.23199865817,4.814743635258196,15.0,3.414108804354833,0,0,7.797079047697592
17,0.8311335764305292,24934.007292915878,4.83089391314511,15.0,3.4805755432539733,0,0,7.797079047697592
18,0.8328192218537067,24984.576655611203,4.847923135702907,15.0,3.550659593654231,0,0,7.797079047697592
19,0.8344976171360674,25034.92851408202,4.865826256805429,15.0,3.6243401881389348,0,0,7.797079047697592
20,0.8361683786705798,25085.051360117395,4.884597971371507,15.0,3.7015954935577815,0,0,7.797079047697592
21,0.8378311251122573,25134.93375336772,4.90423271693699,15.0,3.7824026174964684,0,0,7.797079047697592
22,0.8394854774911581,25184.564324734743,4.924724675303014,15.0,3.866737615060215,0,0,7.797079047697592
23,0.841131059324682,25233.931779740462,4.946067774260065,15.0,3.9545754959691424,0,0,7.797079047697592
