label,seed,policy_mode,num_data_centers,time_to_critical_stress,final_basin_frac,community_complaints,community_shortage_days,farm_yield_loss_mean,farm_shortage_days_total,dc_total_expansions,dc_total_capacity_ml_final,ticks_run
B_reactive,0,reactive,4,2153,0.04960598195218174,202,0,0.953125,297,32,41.422796878383735,2282
B_reactive,1,reactive,4,2165,0.04992007886327926,205,0,0.9375,282,32,41.0009624386485,2293
B_reactive,2,reactive,4,1752,0.049878952323108176,194,0,0.96875,324,24,33.067927682751495,1881
B_reactive,3,reactive,4,2448,0.04956760295655308,191,0,0.96875,346,36,44.634103586298174,2578
B_reactive,4,reactive,4,2767,0.04954429931361031,187,0,0.96875,347,40,47.335366956071866,2894
B_reactive,5,reactive,4,1693,0.049976440110108114,188,0,0.96875,340,24,34.65349880023977,1821
B_reactive,6,reactive,4,2433,0.049979551224540945,189,0,0.96875,343,36,45.542925355435486,2561
B_reactive,7,reactive,4,2427,0.049646228887810374,189,0,0.96875,345,36,43.79707904769759,2556
B_reactive,8,reactive,4,2524,0.04969160384568227,200,0,0.96875,308,36,45.030223075106846,2652
B_reactive,9,reactive,4,2481,0.04997365087426468,193,0,0.96875,338,36,44.76213082756629,2610
B_reactive,10,reactive,4,1747,0.04993867001311762,193,0,0.96875,327,24,32.676721773958505,1876
B_reactive,11,reactive,4,2101,0.04954461475795245,193,0,0.96875,339,32,41.60301889057072,2231
B_reactive,12,reactive,4,2508,0.04964973908268197,197,0,0.96875,323,36,44.91158100809402,2637
B_reactive,13,reactive,4,2477,0.049984094192160086,193,0,0.96875,341,36,45.71652684612908,2606
B_reactive,14,reactive,4,2458,0.049747080400468,192,0,0.96875,343,36,45.602712707353355,2588
B_reactive,15,reactive,4,2147,0.049773488619586255,200,0,0.96875,304,32,40.80635176985883,2276
B_reactive,16,reactive,4,2135,0.04987411660808526,197,0,0.96875,313,32,40.558572981357436,2264
B_reactive,17,reactive,4,1753,0.04953384487352427,195,0,0.96875,326,24,33.868192258379274,1883
B_reactive,18,reactive,4,2407,0.04964743670930798,188,0,0.96875,342,36,44.06279207873773,2534
B_reactive,19,reactive,4,1793,0.04989563184667555,204,0,0.9375,280,28,37.74099256387559,1921
B_reactive,20,reactive,4,2110,0.04951298728523925,194,0,0.96875,335,32,42.89452899106571,2240
B_reactive,21,reactive,4,2139,0.04975078828478942,198,0,0.96875,310,32,40.953225224769405,2268
B_reactive,22,reactive,4,2529,0.049794108523046804,201,0,0.96875,303,36,45.18123715605811,2657
B_reactive,23,reactive,4,2101,0.04956370873301853,193,0,0.96875,340,32,42.274182575747574,2231
B_reactive,24,reactive,4,2142,0.04956340091685288,199,0,0.96875,308,32,42.09952585791689,2271
B_reactive,25,reactive,4,1753,0.049670176176930675,195,0,0.96875,323,24,33.54186497880149,1883
B_reactive,26,reactive,4,2422,0.049577664936531034,189,0,0.96875,343,36,44.633939518139044,2550
B_reactive,27,reactive,4,2148,0.04970868237948324,200,0,0.953125,302,32,41.75497530904068,2277
B_reactive,28,reactive,4,2494,0.04950561240857542,195,0,0.96875,332,36,43.52867347627701,2624
B_reactive,29,reactive,4,2409,0.04978102230971346,188,0,0.96875,343,36,45.04109910168259,2536
B_reactive,30,reactive,4,2506,0.049879659910233895,196,0,0.96875,323,36,44.26792600603413,2635
B_reactive,31,reactive,4,2795,0.04959100606796606,189,0,0.96875,350,40,47.80206811522333,2924
B_reactive,32,reactive,4,2108,0.049769177891995336,193,0,0.96875,332,32,40.241570890031284,2238
B_reactive,33,reactive,4,1747,0.04960188038207406,194,0,0.96875,328,24,33.44528419956791,1877
B_reactive,34,reactive,4,2047,0.049642840991841575,188,0,0.96875,344,32,42.28497962628266,2175
B_reactive,35,reactive,4,2044,0.04993408878709608,187,0,0.96875,340,32,42.367381114083656,2171
B_reactive,36,reactive,4,1690,0.04977883682559236,188,0,0.96875,342,24,34.78422961894394,1818
B_reactive,37,reactive,4,2050,0.04986445040045885,188,0,0.96875,343,32,41.350015133119854,2177
B_reactive,38,reactive,4,2126,0.04995971634809584,195,0,0.96875,322,32,40.788537453602245,2255
B_reactive,39,reactive,4,2121,0.04980974426028623,195,0,0.96875,324,32,39.77886520588738,2251
B_reactive,40,reactive,4,1756,0.049789342069366214,195,0,0.96875,320,24,32.47612085953327,1886
B_reactive,41,reactive,4,2091,0.04989906186748862,191,0,0.96875,339,32,40.537415053089646,2220
B_reactive,42,reactive,4,2079,0.04978061213320264,190,0,0.96875,342,32,39.744016415297736,2208
B_reactive,43,reactive,4,2060,0.049952248715468696,188,0,0.96875,342,32,40.01186245729832,2188
B_reactive,44,reactive,4,2770,0.04992088420409021,187,0,0.96875,347,40,48.98381522355071,2896
B_reactive,45,reactive,4,2825,0.04993851804229265,191,0,0.96875,348,40,47.770774677397355,2954
B_reactive,46,reactive,4,2406,0.04958916840715652,188,0,0.96875,343,36,46.10500399311074,2533
B_reactive,47,reactive,4,2415,0.04975299085668447,188,0,0.96875,344,36,44.36875965942871,2542
B_reactive,48,reactive,4,2119,0.049971132308229325,194,0,0.96875,328,32,40.54076928496707,2248
B_reactive,49,reactive,4,2489,0.04984565442574724,194,0,0.96875,336,36,44.014114482203524,2618
