tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8017154118100149,24051.46235430045,5.654550670558738,15.0,2.8773075784878275,0,0,9.422796878383739
1,0.8034307201306642,24102.921603919927,5.656504923730056,15.0,2.8840139501976334,0,0,9.422796878383739
2,0.8051455131661214,24154.36539498364,5.659575210490776,15.0,2.894550192162228,0,0,9.422796878383739
3,0.8068593792732504,24205.78137819751,5.663760621048668,15.0,2.9089131822657226,0,0,9.422796878383739
4,0.8085719070835838,24257.157212507514,5.6690599151762555,15.0,2.9270986644441717,0,0,9.422796878383739
5,0.8102826856252208,24308.480568756622,5.67547152257832,15.0,2.9491012499467324,0,0,9.422796878383739
6,0.8119913044446062,24359.739133338186,5.682993543357215,15.0,2.9749144189324657,0,0,9.422796878383739
7,0.8136973537281574,24410.920611844722,5.691623748575844,15.0,3.004530522402307,0,0,9.422796878383739
8,0.8154004244237006,24462.01273271102,5.701359580918146,15.0,3.0379407844656283,0,0,9.422796878383739
9,0.8171001083616823,24513.00325085047,5.712198155446883,15.0,3.075135304940731,0,0,9.422796878383739
10,0.8187959983761177,24563.879951283532,5.724136260458503,15.0,3.116103062288473,0,0,9.422796878383739
11,0.8204876884252438,24614.630652757314,5.737170358434851,15.0,3.1608319168781938,0,0,9.422796878383739
12,0.822174773711838,24665.24321135514,5.751296587091393,15.0,3.2093086145849554,0,0,9.422796878383739
13,0.823856850803168,24715.70552409504,5.766510760521711,15.0,3.2615187907170107,0,0,9.422796878383739
14,0.825533517750538,24766.005532516137,5.78280837043787,15.0,3.317446974272383,0,0,9.422796878383739
15,0.8272043742083944,24816.131226251833,5.800184587506316,15.0,3.377076592523259,0,0,9.422796878383739
16,0.8288690215529577,24866.07064658873,5.818634262778928,15.0,3.440389975926837,0,0,9.422796878383739
17,0.8305270630003418,24915.811890010256,5.8381519292187445,15.0,3.5073683633612003,0,0,9.422796878383739
18,0.8321781037241311,24965.343111723934,5.858731803319969,15.0,3.5779919076846394,0,0,9.422796878383739
