tick,basin_frac,basin_level_ml,dc_total_draw_ml,community_received_ml,farm_total_received_ml,community_complaints,active_cap,total_dc_capacity_ml
0,0.8018485556372211,24055.456669116633,1.6602358543766678,15.0,2.8773075784878275,0,0,9.422796878383739
1,0.8036970538005358,24110.911614016073,1.6608096437672988,15.0,2.8840139501976334,0,0,9.422796878383739
2,0.8055451089725953,24166.35326917786,1.6617111124180097,15.0,2.894550192162228,0,0,9.422796878383739
3,0.8073923357673192,24221.770073019576,1.6629399932041842,15.0,2.9089131822657226,0,0,9.422796878383739
4,0.8092383490440925,24277.150471322777,1.6644959219819235,15.0,2.9270986644441717,0,0,9.422796878383739
5,0.8110827640218922,24332.482920656767,1.6663784376959514,15.0,2.9491012499467324,0,0,9.422796878383739
6,0.8129251963933056,24387.75589179917,1.668586982516234,15.0,2.9749144189324657,0,0,9.422796878383739
7,0.8147652624384094,24442.95787315228,1.6711209020032762,15.0,3.004530522402307,0,0,9.422796878383739
8,0.8166025791384732,24498.077374154196,1.6739794453020478,15.0,3.0379407844656283,0,0,9.422796878383739
9,0.8184367642894576,24553.102928683726,1.6771617653644773,15.0,3.075135304940731,0,0,9.422796878383739
10,0.8202674366152682,24608.02309845805,1.680666919200449,15.0,3.116103062288473,0,0,9.422796878383739
11,0.822094215880737,24662.82647642211,1.6844938681572355,15.0,3.1608319168781938,0,0,9.422796878383739
12,0.8239167230042933,24717.5016901288,1.6886414782272672,15.0,3.2093086145849554,0,0,9.422796878383739
13,0.8257345801702946,24772.037405108837,1.6931085203841683,15.0,3.2615187907170107,0,0,9.422796878383739
14,0.8275474109409808,24826.422328229426,1.697893670946941,15.0,3.317446974272383,0,0,9.422796878383739
15,0.8293548403680219,24880.645211040657,1.702995511972201,15.0,3.377076592523259,0,0,9.422796878383739
16,0.831156495103622,24934.69485310866,1.7084125316743464,15.0,3.440389975926837,0,0,9.422796878383739
17,0.8329520035111511,24988.56010533453,1.7141431248735308,15.0,3.5073683633612003,0,0,9.422796878383739
18,0.8347409957752685,25042.229873258057,1.7201855934713117,15.0,3.5779919076846394,0,0,9.422796878383739
19,0.8365231040115083,25095.693120345248,1.726538146953838,15.0,3.652239681616791,0,0,9.422796878383739
20,0.8382979623752896,25148.938871258688,1.7331989029224122,15.0,3.73008968393984,0,0,9.422796878383739
21,0.840065207170326,25201.956215109778,1.7401658876512909,15.0,3.811518846017957,0,0,9.422796878383739
22,0.8418244769563953,25254.73430869186,1.747437036672538,15.0,3.8965030386330355,0,0,9.422796878383739
23,0.8435754126564429,25307.262379693286,1.755010195387776,15.0,3.9850170791346935,0,0,9.422796878383739
24,0.8453176576629835,25359.529729889506,1.7628831197066333,15.0,4.077034738902437,0,0,9.422796878383739
25,0.847050857943772,25411.52573831316,1.7710534767117243,15.0,4.17252875111778,0,0,9.422796878383739
26,0.8487746621467107,25463.239864401323,1.7795188453499364,15.0,4.271470818843968,0,0,9.422796878383739
27,0.8504887217039626,25514.661651118877,1.7882767171498455,15.0,4.3738316234109895,0,0,9.422796878383739
28,0.8521926909352393,25565.78072805718,1.7973244969650266,15.0,4.479580833103329,0,0,9.422796878383739
29,0.8538862271502342,25616.586814507027,1.8066595037430528,15.0,4.588687112147895,0,0,9.422796878383739
30,0.8555689907501682,25667.069722505046,1.816278971319951,15.0,4.7011181299995,0,0,9.422796878383739
31,0.8572406453284206,25717.219359852617,1.8261800492398717,15.0,4.816840570921099,0,0,9.422796878383739
32,0.8589008577702136,25767.02573310641,1.8363598035997448,15.0,4.935820143855946,0,0,9.422796878383739
33,0.8605492983513215,25816.478950539647,1.8468152179186574,15.0,5.058021592588798,0,0,9.422796878383739
34,0.862185640835775,25865.56922507325,1.8575431940316998,15.0,5.183408706193067,0,0,9.422796878383739
35,0.8638095625725315,25914.286877175946,1.8685405530080206,15.0,5.311944329760914,0,0,9.422796878383739
36,0.8654207445910845,25962.622337732537,1.8798040360928134,15.0,5.443590375413058,0,0,9.422796878383739
37,0.867018871695981,26010.56615087943,1.8913303056729538,15.0,5.578307833585013,0,0,9.422796878383739
38,0.8686036325602199,26058.108976806598,1.9031159462660083,15.0,5.716056784586485,0,0,9.422796878383739
39,0.8701747198175066,26105.2415945252,1.9151574655323138,15.0,5.8567964104304195,0,0,9.422796878383739
40,0.8717318301533309,26151.954904599927,1.9274512953098346,15.0,6.000485006928274,0,0,9.422796878383739
41,0.8732746643948461,26198.239931845383,1.9399937926714854,15.0,6.147079996047854,0,0,9.422796878383739
42,0.8748029275995204,26244.08782798561,1.9527812410046081,15.0,6.296537938530101,0,0,9.422796878383739
43,0.8763163291425345,26289.489874276038,1.9658098511122863,15.0,6.448814546761091,0,0,9.422796878383739
44,0.8778145828029007,26334.437484087022,1.9790757623361646,15.0,6.6038646978954105,0,0,9.422796878383739
